Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Coffea arabica isolate CM chloroplast, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155189,MN894552.1
"Coffea arabica isolate CH2 chloroplast, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155189,MN894551.1
"Coffea arabica isolate CH1 chloroplast, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155189,MN894550.1
"Coffea arabica isolate TY1 chloroplast, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155189,MK875244.1
"Coffea arabica isolate TY1 chloroplast, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155187,MK862266.1
"Coffea arabica isolate IN1 chloroplast, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155277,MK353212.1
"Coffea arabica isolate HP1 chloroplast, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155191,MK353209.1
"Coffea arabica isolate CH3 chloroplast, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155191,MK342634.1
"Coffea arabica plastid, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155188,KY085909.1
"Coffea canephora chloroplast, complete genome",Coffea canephora,401,401,100%,9.999999999999999e-108,100.0,154751,KU500324.1
"Coffea racemosa chloroplast, complete genome",Coffea racemosa,401,401,100%,9.999999999999999e-108,100.0,154942,MW970412.1
"Coffea liberica chloroplast, complete genome",Coffea liberica,401,401,100%,9.999999999999999e-108,100.0,154799,MW970411.1
"Coffea arabica strain bourbon chloroplast, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155188,MN901638.1
"Coffea arabica chloroplast, complete genome",Coffea arabica,401,401,100%,9.999999999999999e-108,100.0,155189,EF044213.1
"Paragenipa lancifolia chloroplast, partial genome",Paragenipa lancifolia,397,397,100%,5.999999999999998e-106,99.55,129378,KY348838.1
"Alberta magna chloroplast, partial genome",Alberta magna,392,392,100%,6.999999999999998e-105,99.1,129338,KY348839.1
"Stachyarrhena heterochroa chloroplast, partial genome",Stachyarrhena heterochroa,392,392,100%,6.999999999999998e-105,99.1,129580,KY348836.1
"Gardenia conferta chloroplast, partial genome",Gardenia conferta,392,392,100%,6.999999999999998e-105,99.1,128862,KY348835.1
"Bertiera longithyrsa chloroplast, partial genome",Bertiera longithyrsa,392,392,100%,6.999999999999998e-105,99.1,128726,KY348833.1
"Gardenia jasminoides var. grandiflora chloroplast, complete genome",Gardenia jasminoides var. grandiflora,392,392,100%,6.999999999999998e-105,99.1,155098,MZ151502.1
"Gardenia jasminoides isolate GJ chloroplast, complete genome",Gardenia jasminoides,392,392,100%,6.999999999999998e-105,99.1,154954,MZ151501.1
"Gardenia jasminoides chloroplast, complete genome",Gardenia jasminoides,392,392,100%,6.999999999999998e-105,99.1,155247,MW160432.1
"Gardenia jasminoides chloroplast, complete genome",Gardenia jasminoides,392,392,100%,6.999999999999998e-105,99.1,154921,NC_057593.1
"Fosbergia shweliensis chloroplast, complete genome",Fosbergia shweliensis,392,392,100%,6.999999999999998e-105,99.1,154717,NC_050962.1
"Fosbergia shweliensis chloroplast, complete genome",Fosbergia shweliensis,392,392,100%,6.999999999999998e-105,99.1,154717,MT180075.1
"Augusta austrocaledonica chloroplast, partial genome",Augusta austrocaledonica,388,388,100%,2.999999999999999e-103,98.65,128701,KY492076.1
"Mitriostigma axillare chloroplast, partial genome",Mitriostigma axillare,388,388,100%,2.999999999999999e-103,98.65,128365,KY348837.1
"Ixora chinensis chloroplast, complete genome",Ixora chinensis,388,388,100%,2.999999999999999e-103,98.65,154787,MZ221832.1
"Steenisia pleurocarpa chloroplast, partial genome",Steenisia pleurocarpa,383,383,100%,3.999999999999999e-102,98.2,128332,KY378709.1
"Pavetta abyssinica chloroplast, partial genome",Pavetta abyssinica,383,383,100%,3.999999999999999e-102,98.2,127496,KY378673.1
"Ixora parviflora chloroplast, partial genome",Ixora parviflora,383,383,100%,3.999999999999999e-102,98.2,128868,KY378672.1
"Glionnetia sericea chloroplast, partial genome",Glionnetia sericea,383,383,100%,3.999999999999999e-102,98.2,128877,KY378665.1
"Ixora hookeri chloroplast, partial genome",Ixora hookeri,383,383,100%,3.999999999999999e-102,98.2,128306,KY378663.1
"Melodinus cambodiensis chloroplast, partial genome",Melodinus cambodiensis,383,383,100%,3.999999999999999e-102,98.2,129002,MG963268.1
"Dyera costulata chloroplast, partial genome",Dyera costulata,383,383,100%,3.999999999999999e-102,98.2,127999,MG963246.1
"Aganosma cymosa voucher D. J. Middleton et al. 1498 (A) plastid, partial genome",Aganosma cymosa,383,383,100%,3.999999999999999e-102,98.2,153816,KJ953903.1
"Ixora x williamsii cultivar Dwarf Alba chloroplast, complete genome",Ixora x williamsii,383,383,100%,3.999999999999999e-102,98.2,154663,MZ888772.1
"Osmanthus fragrans isolate Log Cabin-1 (KEITH arboretum) chloroplast, complete genome",Osmanthus fragrans,381,381,99%,9.999999999999999e-102,98.19,155326,MH817932.1
"Morinda citrifolia chloroplast, complete genome",Morinda citrifolia,379,379,100%,1.9999999999999995e-100,97.75,153113,NC_047302.1
"Boholia nematostylis chloroplast, partial genome",Boholia nematostylis,379,379,100%,1.9999999999999995e-100,97.75,129227,KY348840.1
"Morinda citrifolia chloroplast, complete genome",Morinda citrifolia,379,379,100%,1.9999999999999995e-100,97.75,153113,MN699649.1
"Morinda citrifolia chloroplast, partial genome",Morinda citrifolia,379,379,100%,1.9999999999999995e-100,97.75,127492,KY378694.1
"Rondeletia odorata chloroplast, partial genome",Rondeletia odorata,379,379,100%,1.9999999999999995e-100,97.75,127659,KY378681.1
"Hillia triflora chloroplast, partial genome",Hillia triflora,379,379,100%,1.9999999999999995e-100,97.75,129357,KY378676.1
"Jackiopsis ornata chloroplast, partial genome",Jackiopsis ornata,379,379,100%,1.9999999999999995e-100,97.75,128852,KY378669.1
"Psydrax obovata chloroplast, partial genome",Psydrax obovata,379,379,100%,1.9999999999999995e-100,97.75,126993,KY378666.1
"Greenea oblonga chloroplast, partial genome",Greenea oblonga,379,379,100%,1.9999999999999995e-100,97.75,128758,KY378664.1
"Posoqueria latifolia chloroplast, partial genome",Posoqueria latifolia,379,379,100%,1.9999999999999995e-100,97.75,128825,KY378662.1
"Trachelospermum jasminoides chloroplast, complete genome",Trachelospermum jasminoides,379,379,100%,1.9999999999999995e-100,97.75,155484,MK783315.1
"Plectaneia stenophylla chloroplast, partial genome",Plectaneia stenophylla,379,379,100%,1.9999999999999995e-100,97.75,128789,MG963270.1
"Landolphia dawei chloroplast, partial genome",Landolphia dawei,379,379,100%,1.9999999999999995e-100,97.75,129233,MG963265.1
"Lacmellea panamensis chloroplast, partial genome",Lacmellea panamensis,379,379,100%,1.9999999999999995e-100,97.75,129768,MG963264.1
"Mandevilla x amabilis chloroplast, partial genome",Mandevilla x amabilis,379,379,100%,1.9999999999999995e-100,97.75,128711,MG963256.1
"Thyrsanthella difformis chloroplast, partial genome",Thyrsanthella difformis,379,379,100%,1.9999999999999995e-100,97.75,129260,MG963254.1
"Amphineurion marginatum chloroplast, partial genome",Amphineurion marginatum,379,379,100%,1.9999999999999995e-100,97.75,129018,MG963253.1
"Trachelospermum asiaticum chloroplast, partial genome",Trachelospermum asiaticum,379,379,100%,1.9999999999999995e-100,97.75,129439,MG963252.1
"Stipecoma peltigera chloroplast, partial genome",Stipecoma peltigera,379,379,100%,1.9999999999999995e-100,97.75,128835,MG963244.1
"Hunteria zeylanica chloroplast, partial genome",Hunteria zeylanica,379,379,100%,1.9999999999999995e-100,97.75,110978,MG963243.1
"Secondatia densiflora chloroplast, partial genome",Secondatia densiflora,379,379,100%,1.9999999999999995e-100,97.75,129939,MG963242.1
"Odontadenia perrottetii chloroplast, partial genome",Odontadenia perrottetii,379,379,100%,1.9999999999999995e-100,97.75,129526,MG963241.1
"Streptoechites chinensis chloroplast, partial genome",Streptoechites chinensis,379,379,100%,1.9999999999999995e-100,97.75,129366,MG963239.1
"Alafia barteri chloroplast, partial genome",Alafia barteri,379,379,100%,1.9999999999999995e-100,97.75,129264,MG963238.1
"Macropharynx peltata chloroplast, partial genome",Macropharynx peltata,379,379,100%,1.9999999999999995e-100,97.75,129880,MG963236.1
